ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;11.3;-9.6;7.11;5.23;Pozitivno;Da
2;11.4;-25.5;7.18;5.7;Pozitivno;Da
3;9.9;-23.0;7.21;4.32;Pozitivno;Da
4;9.1;-21.9;6.76;4.68;Pozitivno;Da
5;11.0;-23.2;6.8;5.69;Pozitivno;Da
6;8.1;-19.1;7.01;4.4;Pozitivno;Ne
7;7.0;-22.4;7.05;4.83;Pozitivno;Da
8;7.8;-19.1;7.16;4.73;Pozitivno;Ne
9;6.7;-18.6;6.97;4.7;Pozitivno;Da
10;7.2;-13.8;6.98;4.43;Pozitivno;Da
11;10.4;-9.5;6.98;5.04;Pozitivno;Da
12;10.4;-12.1;7.08;4.58;Negativno;Ne
13;6.1;-25.2;6.86;5.58;Pozitivno;Da
14;11.5;-20.3;6.77;5.43;Pozitivno;Da
15;9.3;-25.1;6.94;4.67;Negativno;Da
16;8.9;-26.2;7.13;4.89;Pozitivno;Ne
17;11.5;-21.8;7.01;4.91;Pozitivno;Da
18;9.2;-20.0;6.99;4.48;Pozitivno;Da
19;6.6;-23.1;7.06;4.83;Pozitivno;Ne
20;6.8;-11.8;7.03;5.58;Pozitivno;Da
21;7.6;-15.4;6.84;4.7;Pozitivno;Da
22;14.3;-27.0;7.24;5.33;Negativno;Da
23;8.7;-17.5;6.67;5.21;Pozitivno;Da
24;13.1;-2.7;7.11;4.92;Pozitivno;Da
25;9.4;-17.9;7.44;5.62;Pozitivno;Da
26;6.3;-20.1;6.89;5.97;Pozitivno;Ne
27;8.6;-12.1;6.86;4.78;Pozitivno;Da
28;9.9;-23.6;6.83;4.9;Pozitivno;Da
29;13.0;-21.4;6.77;5.37;Pozitivno;Ne
30;8.9;-22.8;7.12;4.98;Pozitivno;Da
31;10.0;-14.8;7.31;5.05;Pozitivno;Da
32;12.0;-20.8;7.02;5.23;Pozitivno;Da
33;10.8;-22.3;6.89;5.67;Pozitivno;Da
34;7.9;-18.7;6.79;4.59;Pozitivno;Da
35;8.7;-18.4;7.0;4.63;Pozitivno;Da
36;6.1;-19.1;7.13;4.87;Pozitivno;Da
37;7.4;-9.5;6.92;4.7;Pozitivno;Da
38;8.2;-17.7;7.05;5.04;Pozitivno;Da
39;13.0;-13.6;6.79;4.99;Pozitivno;Da
40;9.4;-19.4;7.19;6.02;Pozitivno;Ne
41;11.2;-13.0;6.82;4.4;Pozitivno;Da
